Date,AAPL,AMZN,ED,F,JNJ,JPM,ORCL,TSLA,V,WMT,XOM
2016-11-30 00:00:00,0.97839913,0.9503051333,0.932356125,1.018739631,0.9661963161,1.157522229,1.0460696,0.9578718377,0.9390707116,1.005855446,1.057045555
2016-10-31 00:00:00,1.004334562,0.9432826667,1.003320104,0.9847773355,0.9818843577,1.047657,0.981894822,0.9691222289,0.9977023745,0.9708820653,0.9546288432
2016-09-30 00:00:00,1.065503838,1.088603186,1.000664548,0.957936424,0.9898609542,0.9865185599,0.9529358277,0.9623602506,1.022249747,1.009518358,1.001606491
2016-08-31 00:00:00,1.023652006,1.013639746,0.9477447219,0.9952607424,0.9593238365,1.055181927,1.004385708,0.9029771341,1.038313974,0.985734531,0.9880055162
2016-07-29 00:00:00,1.090062815,1.060353264,0.9955246906,1.018203177,1.03239922,1.03746355,1.006375699,1.106039164,1.052312498,0.9993153501,0.9489012799
2016-06-30 00:00:00,0.9573402294,0.9900801296,1.098006743,0.9318014488,1.07640402,0.9520453008,1.018159248,0.950947484,0.9395742498,1.031646717,1.053021877
2016-05-31 00:00:00,1.071773146,1.095817021,0.9909350539,0.9948377571,1.012621154,1.032753133,1.008529623,0.9271888917,1.023819097,1.066221915,1.01547679
2016-04-29 00:00:00,0.860078836,1.111094284,0.9736360608,1.015522931,1.035859634,1.075108255,0.9779662977,1.047830481,1.009936871,0.9763467719,1.057542797
2016-03-31 00:00:00,1.127210444,1.074422634,1.094415322,1.07913653,1.028419293,1.051865226,1.11228908,1.197155126,1.056499529,1.040051887,1.042919448
2016-02-29 00:00:00,0.9987126325,0.9412606806,1.01839182,1.047738569,1.014673041,0.9462182435,1.012943709,1.003817989,0.9737260795,0.9996984699,1.038888435
2016-01-29 00:00:00,0.9247575307,0.8684844979,1.079664005,0.8759900196,1.016744735,0.9071505835,0.9980761632,0.7966335268,0.9605415339,1.082545211,0.9987170953
2015-12-31 00:00:00,0.8897718523,1.016681749,1.034111029,0.9832519487,1.014618706,0.9902519754,0.9373879178,1.042343456,0.9815211122,1.050534389,0.9545677415
2015-11-30 00:00:00,0.9941956826,1.062150442,0.9552766825,0.9675894398,1.009465747,1.037820928,1.003346988,1.112743352,1.020262938,1.027952406,0.9955508606
2015-10-30 00:00:00,1.083408611,1.222723645,0.9835451781,1.102484445,1.082270822,1.061400706,1.079578388,0.8330515566,1.113695122,0.8827886189,1.112844629
2015-09-30 00:00:00,0.9781837586,0.9980502642,1.062629298,0.9783706359,0.9932963934,0.9511700888,0.9738473117,0.9973500368,0.9769984696,1.001699191,0.9881712632
2015-08-31 00:00:00,0.9338040765,0.9566166022,0.9989517251,0.9352662567,0.9450049027,0.9353566964,0.9286430111,0.9357881026,0.94792748,0.9054180693,0.9587673877
2015-07-31 00:00:00,0.9670732329,1.235112601,1.098652258,0.9981034149,1.028216708,1.01797364,0.9947639876,0.99213448,1.121965029,1.01480349,0.9520432272
2015-06-30 00:00:00,0.9627725093,1.011322567,0.9359638405,0.9894527712,0.9732377386,1.030100698,0.9266498233,1.069617237,0.9777228309,0.955028882,0.9765260434
2015-05-29 00:00:00,1.045339034,1.017663266,1.015449303,0.9601268278,1.016836861,1.03983553,0.9970199714,1.10948907,1.041638227,0.9575749863,0.9832284503
2015-04-30 00:00:00,1.005786349,1.133512475,1.009016234,0.9881635129,0.9860836276,1.051179817,1.014435571,1.197488932,1.009784173,0.9489361404,1.027882506
2015-03-31 00:00:00,0.9686284024,0.9787984073,0.9661070973,0.9877603162,0.981367622,0.988576978,0.9847106051,0.9283466681,0.9643583644,0.9858693818,0.9600181411
2015-02-27 00:00:00,1.100776634,1.072292909,0.9204937279,1.110808899,1.030832495,1.126884729,1.046072788,0.9987229383,1.066271007,0.9876444067,1.020435157
2015-01-30 00:00:00,1.061424129,1.142355379,1.049537617,0.9587164076,0.9576362238,0.8745578615,0.9340380973,0.9154265241,0.9721971261,0.989520181,0.9455922309
2014-12-31 00:00:00,0.9281090918,0.9164599359,1.04528898,0.9853781502,0.9660045073,1.040226075,1.060363362,0.9095779293,1.015530865,0.9865179761,1.021095645
2014-11-28 00:00:00,1.105978449,1.108623139,1.006713202,1.116394401,1.010901763,0.9947090167,1.086043512,1.011667339,1.071479099,1.147764433,0.9429601557
2014-10-31 00:00:00,1.071960627,0.9473390061,1.118249009,0.9611555307,1.011164466,1.010748248,1.023272452,0.9959617779,1.13150883,0.9973846948,1.028282924
2014-09-30 00:00:00,0.9829266881,0.9510382088,0.9787526508,0.8495119223,1.027571553,1.013288448,0.9217431372,0.8998146187,1.003999636,1.012847386,0.9456058513
2014-08-29 00:00:00,1.077508406,1.083229557,1.043647027,1.022914206,1.0433771,1.030865265,1.028224939,1.207792181,1.009075644,1.032854163,1.012258812
2014-07-31 00:00:00,1.028731619,0.9636984772,0.9714232757,0.9943129054,0.9567004458,1.007864373,0.9994469529,0.9301840974,1.001423693,0.980151837,0.9827177156
2014-06-30 00:00:00,1.027661891,1.039129776,1.049627375,1.048661719,1.031145284,1.036890413,0.9645404655,1.155412236,0.9808217166,0.9778558425,1.001492047
2014-05-30 00:00:00,1.078709337,1.027685473,0.9587050497,1.017956736,1.008659499,0.992676239,1.027886435,0.9994228135,1.062316926,0.9690791663,0.9883070703
2014-04-30 00:00:00,1.099396027,0.9041531923,1.081640416,1.043346859,1.031151089,0.9279003262,1.002245965,0.9973135161,0.9386173714,1.042915454,1.048423141
2014-03-31 00:00:00,1.019953274,0.928942252,0.9571809386,1.013645317,1.066326994,1.068461841,1.046024154,0.851476596,0.9553865702,1.02975984,1.014646618
2014-02-28 00:00:00,1.05751079,1.009506827,1.042297235,1.028743034,1.048749329,1.026372739,1.05989182,1.349484587,1.050676348,1.000268006,1.051994915
2014-01-31 00:00:00,0.8923031098,0.8994458105,0.9842618792,0.9773112836,0.9659353159,0.9528398775,0.9675220123,1.205942995,0.967442166,0.9490404853,0.9106720454
2013-12-31 00:00:00,1.008902081,1.013134529,1.001267855,0.903395756,0.9675679478,1.022019978,1.084159622,1.18188251,1.094465537,0.9770158405,1.082583932
2013-11-29 00:00:00,1.070052922,1.0812845,0.9583660957,0.998246854,1.029271714,1.110205945,1.053432813,0.7957983832,1.036616393,1.055505019,1.050168141
2013-10-31 00:00:00,1.096381394,1.164374302,1.055857995,1.020018633,1.06828904,1.004444049,1.013607823,0.8271190217,1.029146675,1.037723249,1.041608633
2013-09-30 00:00:00,0.9785107156,1.112677067,0.9806153932,1.042001173,1.003240219,1.022956466,1.041117394,1.144201203,1.095631446,1.013427968,0.9871501482
2013-08-30 00:00:00,1.083767156,0.9328066192,0.94840374,0.959123273,0.9311343484,0.9066930191,0.9848531119,1.258564124,0.9871857384,0.9420473327,0.9361326947
2013-07-31 00:00:00,1.14122468,1.084734771,1.02726776,1.097570003,1.088982041,1.06339066,1.057428814,1.250745191,0.968590558,1.046315134,1.037631216
2013-06-28 00:00:00,0.8817068459,1.031537852,1.021728328,0.986607308,1.019957372,0.9670268857,0.909117991,1.098199676,1.025878997,0.9953232925,0.998673581
2013-05-31 00:00:00,1.022419531,1.060635967,0.905668184,1.15209389,0.9951048331,1.113854599,1.030506266,1.810705634,1.059400722,0.9687196058,1.023663697
2013-04-30 00:00:00,1.000270896,0.952418503,1.042929932,1.042585926,1.045381914,1.03911592,1.013918742,1.424914257,0.9918744503,1.038621026,0.9875709318
2013-03-28 00:00:00,1.002854714,1.008400504,1.034406624,1.042822999,1.071212849,0.9701551393,0.9442172155,1.087855295,1.07060017,1.064040203,1.006253365
2013-02-28 00:00:00,0.9747139224,0.9953671903,1.048555031,0.9737449565,1.03786277,1.039745001,0.9642357937,0.9285524147,1.006741674,1.011865458,1.001691117
2013-01-31 00:00:00,0.8559109088,1.058317077,1.024126997,1.007363827,1.054493287,1.077398676,1.065726327,1.107469688,1.041759776,1.025208792,1.039514521
2012-12-31 00:00:00,0.9092569724,0.9953183578,0.9955187361,1.13100425,1.005305916,1.070350492,1.041220882,1.001478449,1.012491153,0.9526328719,0.9819605937
2012-11-30 00:00:00,0.9876254652,1.082270616,0.9339969445,1.025985942,0.9933161602,0.9856047789,1.035392342,1.202275156,1.081418348,0.9600108914,0.9728181375
2012-10-31 00:00:00,0.8923999402,0.9157360518,1.008181645,1.137334826,1.027717294,1.037248681,0.9898593655,0.9607240401,1.033363148,1.016531261,0.9969380265
2012-09-28 00:00:00,1.002795865,1.024368643,0.9879577169,1.055674341,1.021948716,1.089929711,0.9939965548,1.026647958,1.047017535,1.01652866,1.047537326
2012-08-31 00:00:00,1.093877062,1.064166314,0.9488327634,1.016321922,0.982992361,1.031666901,1.048013115,1.040116663,0.9953326904,0.9806885143,1.011713556
2012-07-31 00:00:00,1.045821637,1.021677236,1.037143905,0.9635039085,1.024570476,1.015957486,1.01893954,0.8763183599,1.044002027,1.067555756,1.014958634
2012-06-29 00:00:00,1.010853113,1.072518915,1.030318391,0.9081441261,1.082172239,1.077828237,1.122024896,1.060677931,1.073177156,1.05925254,1.088261668
2012-05-31 00:00:00,0.9892972841,0.9181112948,1.025682052,0.9361699509,0.9683220089,0.7712888464,0.9003403813,0.8904316571,0.9385084053,1.124879429,0.916975654
2012-04-30 00:00:00,0.9740307897,1.145128637,1.017631135,0.9077588177,0.986961658,0.940873176,1.010280932,0.889634797,1.042203303,0.962581842,0.995502923
2012-03-30 00:00:00,1.105283387,1.126996448,1.00550753,1.008077462,1.013521874,1.171763525,0.9969230832,1.114636303,1.014007026,1.042817083,1.002659334
2012-02-29 00:00:00,1.188310666,0.9241411242,0.9956003976,0.9967795793,0.9961288913,1.052010681,1.036866444,1.149294808,1.158511521,0.9628421403,1.038612822
2012-01-31 00:00:00,1.127110968,1.123281315,0.9505078182,1.158805107,1.005032015,1.129879619,1.102260917,1.017857185,0.9912340718,1.026773847,0.987966058
